"filename", "language", "CSS", "JavaScript", "XML", "Markdown", "JSON", "HTML", "SQL", "comment", "blank", "total"
"c:\Users\perso\devmtn\personal-project\README.md", "Markdown", 0, 0, 0, 39, 0, 0, 0, 0, 33, 72
"c:\Users\perso\devmtn\personal-project\db\auth\change_password.sql", "SQL", 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\perso\devmtn\personal-project\db\auth\change_username.sql", "SQL", 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\perso\devmtn\personal-project\db\auth\check_email.sql", "SQL", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\perso\devmtn\personal-project\db\auth\delete_user.sql", "SQL", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\perso\devmtn\personal-project\db\auth\register_user.sql", "SQL", 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\perso\devmtn\personal-project\db\games\add_to_plays.sql", "SQL", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\perso\devmtn\personal-project\db\games\get_games.sql", "SQL", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\perso\devmtn\personal-project\db\inserts.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 24, 0, 24
"c:\Users\perso\devmtn\personal-project\db\prompts\get_prompts.sql", "SQL", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\perso\devmtn\personal-project\db\seed.sql", "SQL", 0, 0, 0, 0, 0, 0, 28, 0, 3, 31
"c:\Users\perso\devmtn\personal-project\db\stats\add_new_stat.sql", "SQL", 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\perso\devmtn\personal-project\db\stats\check_for_stat.sql", "SQL", 0, 0, 0, 0, 0, 0, 2, 1, 0, 3
"c:\Users\perso\devmtn\personal-project\db\stats\get_user_stats.sql", "SQL", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\perso\devmtn\personal-project\db\stats\update_stat.sql", "SQL", 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\perso\devmtn\personal-project\package-lock.json", "JSON", 0, 0, 0, 0, 17221, 0, 0, 0, 1, 17222
"c:\Users\perso\devmtn\personal-project\package.json", "JSON", 0, 0, 0, 0, 56, 0, 0, 0, 1, 57
"c:\Users\perso\devmtn\personal-project\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 23, 1, 44
"c:\Users\perso\devmtn\personal-project\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\perso\devmtn\personal-project\server\controllers\authController.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 7, 5, 93
"c:\Users\perso\devmtn\personal-project\server\controllers\gameController.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\perso\devmtn\personal-project\server\controllers\promptController.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 1, 3, 32
"c:\Users\perso\devmtn\personal-project\server\controllers\statController.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 53
"c:\Users\perso\devmtn\personal-project\server\handlers\gameHandler.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
