Date : 2021-06-03 18:29:51
Directory : c:\Users\perso\devmtn\personal-project
Total : 85 files,  21545 codes, 206 comments, 290 blanks, all 22041 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          4 |     19,764 |          0 |          3 |     19,767 |
| JavaScript |         51 |      1,549 |        139 |        233 |      1,921 |
| CSS        |         13 |        107 |         19 |         17 |        143 |
| SQL        |         14 |         65 |         25 |          3 |         93 |
| Markdown   |          1 |         39 |          0 |         33 |         72 |
| HTML       |          1 |         20 |         23 |          1 |         44 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |         85 |     21,545 |        206 |        290 |     22,041 |
| db                                                                                                                   |         14 |         65 |         25 |          3 |         93 |
| db\auth                                                                                                              |          5 |         17 |          0 |          0 |         17 |
| db\games                                                                                                             |          2 |          5 |          0 |          0 |          5 |
| db\prompts                                                                                                           |          1 |          2 |          0 |          0 |          2 |
| db\stats                                                                                                             |          4 |         13 |          1 |          0 |         14 |
| public                                                                                                               |          2 |         45 |         23 |          2 |         70 |
| server                                                                                                               |          8 |        313 |         23 |         43 |        379 |
| server\controllers                                                                                                   |          4 |        183 |          8 |          8 |        199 |
| server\handlers                                                                                                      |          2 |         65 |          1 |         13 |         79 |
| server\middleware                                                                                                    |          1 |          8 |          0 |          1 |          9 |
| src                                                                                                                  |         58 |      3,806 |        135 |        207 |      4,148 |
| src\components                                                                                                       |         45 |      1,133 |         89 |        170 |      1,392 |
| src\components\Account                                                                                               |          2 |          8 |          0 |          1 |          9 |
| src\components\Dash                                                                                                  |          2 |          8 |          0 |          1 |          9 |
| src\components\Games                                                                                                 |         22 |        725 |         76 |        106 |        907 |
| src\components\Games\MotivationalPoser                                                                               |         19 |        653 |         75 |         99 |        827 |
| src\components\Games\MotivationalPoser\Screens                                                                       |         17 |        550 |         73 |         85 |        708 |
| src\components\Games\MotivationalPoser\Screens\Rounds                                                                |          3 |         27 |         21 |          9 |         57 |
| src\components\Games\MotivationalPoser\Screens\StartScreen                                                           |          2 |        134 |         18 |         28 |        180 |
| src\components\Header                                                                                                |          6 |        120 |          3 |         19 |        142 |
| src\components\Header\AuthButton                                                                                     |          2 |         43 |          0 |          8 |         51 |
| src\components\Header\UserDisplay                                                                                    |          2 |         44 |          0 |          4 |         48 |
| src\components\Join                                                                                                  |          9 |        203 |         10 |         34 |        247 |
| src\components\Join\MotivationalPoser                                                                                |          7 |        101 |          1 |         10 |        112 |
